error_id,runs_for_that_issue,overall_found_count,test_files_count,last_occurrence_tool_commit,last_occurrence_date
net_type_not_supported,16640,19137,5105,3a7f19d9783de95f58940d9e983d068959a07ada,2026-04-28
assigning_to_input_const_variable,11008,9624,4448,8a24897c13e0b15e76bc49a038986b7d2728fb2a,2026-01-13
unsupported_trireg,16640,7561,5232,5d1b4fe8a88a0c1141499e4580d3c4d6fb931fa6,2026-04-28
errors_in_port_declarations,16640,6012,5232,ca756322a74aceb83703cd64b98cf392477ef295,2026-04-28
unsupported_tristate_construct_inititem,16640,5699,1741,5d1b4fe8a88a0c1141499e4580d3c4d6fb931fa6,2026-04-28
abort_in_181,12544,4675,4675,4e53d772996184b07e9bfe784060f96e6cb0a267,2026-04-07
non_vector_type_cannot_have_packed_dimesions,16640,4597,4597,6662fa5da71f87797598060f17728b284b99a9fc,2026-04-28
cannot_be_driven_with_non_default_strength,16640,4537,3501,ca756322a74aceb83703cd64b98cf392477ef295,2026-04-28
failed_to_elaborate_primitive_output_expression,16640,4537,3501,ca756322a74aceb83703cd64b98cf392477ef295,2026-04-28
wire_inputs_its_own_output,16640,3664,2235,5d1b4fe8a88a0c1141499e4580d3c4d6fb931fa6,2026-04-28
abort_tristate,4352,3015,3015,3a7f19d9783de95f58940d9e983d068959a07ada,2026-04-28
slices_of_arrays_in_assignments_have_different_unpacked_dimensions,16640,2905,1183,5d1b4fe8a88a0c1141499e4580d3c4d6fb931fa6,2026-04-28
inout_ports_with_unpacked_dimensions_are_not_supported,4608,2729,1474,ca756322a74aceb83703cd64b98cf392477ef295,2026-04-28
feature_unimplemented_see_ast,16640,2481,2481,3a7f19d9783de95f58940d9e983d068959a07ada,2026-04-28
not_an_unpacked_array_but_in_unpacked_array_context,16640,2371,1697,5d1b4fe8a88a0c1141499e4580d3c4d6fb931fa6,2026-04-28
gate_unexpected_in_assignment_to_unpacked_array,16640,2031,867,5d1b4fe8a88a0c1141499e4580d3c4d6fb931fa6,2026-04-28
encountered_unhandled_type_in_process_port_real_var,16640,1954,1954,2d838edc951fed056d2b5bf21a40ce1d161c24ba,2026-04-28
t_dll_api_cc_ivl_nexus_s,16640,1890,1890,ca756322a74aceb83703cd64b98cf392477ef295,2026-04-28
expression_width_does_not_match_width,16640,1844,1335,ca756322a74aceb83703cd64b98cf392477ef295,2026-04-28
unsupported_tristate_construct_triand_graph,16640,1629,359,5d1b4fe8a88a0c1141499e4580d3c4d6fb931fa6,2026-04-28
scalar_type_is_not_a_valid_context_for_assignment_pattern,15616,1560,585,ca756322a74aceb83703cd64b98cf392477ef295,2026-04-24
const_unexpected_in_assignment_to_unpacked_array,16640,1459,1043,5d1b4fe8a88a0c1141499e4580d3c4d6fb931fa6,2026-04-28
failed_assertion_prts_unpacked_dimensions,16640,1401,1401,ca756322a74aceb83703cd64b98cf392477ef295,2026-04-28
signal_with_non_constant_width,16640,1123,1123,2d838edc951fed056d2b5bf21a40ce1d161c24ba,2026-04-28
invalid_module_item,16640,1003,758,ca756322a74aceb83703cd64b98cf392477ef295,2026-04-28
array_needs_an_array_index_here,16640,983,905,ca756322a74aceb83703cd64b98cf392477ef295,2026-04-28
packed_array_assignment_pattern_expects_elements_in_this_context,15616,904,459,ca756322a74aceb83703cd64b98cf392477ef295,2026-04-24
failed_to_detect_width_of_signal,16640,673,673,2d838edc951fed056d2b5bf21a40ce1d161c24ba,2026-04-28
input_port_of_special_tristate_type_is_not_supported,5632,571,428,3a7f19d9783de95f58940d9e983d068959a07ada,2026-04-28
